Vocabulario;Encontrados;
a-loc;42;1
ac;0;0
acco;0;0
acl;0;0
acrt;0;0
adms;0;0
af;2;1
agrelon;0;0
am;0;0
amlo-core;71;1
aos;0;0
arco;4;1
arp;3;1
atd;34;1
atm;50;1
atts;5;1
awol;4;1
aws;138;1
bag;0;0
bcom;0;0
bevon;0;0
bf;0;0
bibo;23;1
bibtex;41;1
biopax;54;1
biotop;176;1
biro;8;1
blt;0;0
bot;0;0
brk;0;0
brt;0;0
bto;0;0
c4o;8;1
cart;0;0
caso;28;1
cbcm;76;1
cbo;0;0
cco;0;0
cdc;0;0
cdesc;261;1
cdm;0;0
cdtype;0;0
cem;9;1
cert;0;0
cevent;10;1
cff;0;0
cfp;0;0
cfrl;0;0
chord;0;0
ci;0;0
cito;2;1
cl;4;1
cld;0;0
cnt;0;0
co;1;1
cochrane;0;0
cocoon;35;1
cold;4;1
comm;0;0
common;146;1
contax;0;0
cpa;0;0
cpmeta;57;1
crm;0;0
ct;2;1
ctlog;33;1
cto;0;0
ctrl;11;1
daq;0;0
dataid;28;1
datex;0;0
dave;0;0
dba;0;0
dbm;0;0
dbpedia-owl;0;0
dcam;0;0
dcat;2;1
dce;0;0
dcite;13;1
dcndl;0;0
dcterms;0;0
dctype;0;0
ddesc;85;1
deo;1;1
dicom;0;0
dio;2;1
dita;0;0
dk;0;0
dnbt;2;1
doc;0;0
doco;53;1
dogont;1796;1
dot;0;0
dpn;17;1
dqc;0;0
dqm;0;0
dqv;1;1
drama;0;0
dsn;0;0
dtype;19;1
dul;75;1
eac-cpf;23;1
earl;0;0
ecfo;0;0
ecpo;6;1
ecrm;74;1
edac;11;1
edu;0;0
edupro;0;0
eeo;28;1
eepsa;0;0
ei2a;41;1
ep;0;0
eqp;2;1
era;0;0
esco;28;1
eupont;7;1
event;2;1
ex;0;0
exif;0;0
fabio;89;1
faldo;6;1
fel;0;0
fiesta-iot;125;1
fiesta-priv;41;1
fog;0;0
foio;1;1
fowl;67;1
frad;0;0
frbrer;0;0
fresnel;48;1
g50k;0;0
game;0;0
geo;0;0
geofla;4;1
geom;13;1
gleif-L1;36;1
gleif-L2;16;1
gleif-base;27;1
gleif-elf;6;1
gleif-geo;18;1
gleif-ra;6;1
gleif-repex;4;1
gml;0;0
gn;12;1
gndo;0;0
gom;0;0
gov;0;0
gr;1;1
grddl;0;0
gso;0;0
gsp;0;0
ha;148;1
hifm;0;0
holding;0;0
hpont;2;1
hto;0;0
http;0;0
iadopt;2;1
ibis;10;1
iddo;104;1
ids;11;1
ifc;3472;1
ignf;12;1
incident;0;0
infor;3;1
iol;40;1
iot-lite;0;0
iottaxolite;0;0
ipo;16;1
irao;0;0
irw;10;1
is;0;0
isbd;0;0
ispra;17;1
ivoam;0;0
juso;0;0
juso.kr;0;0
keys;0;0
km4c;43;1
ldp;0;0
ldvm;0;0
lemon;17;1
lexdcp;0;0
lexinfo;118;1
lh;0;0
lime;11;1
lingvo;0;0
lio;0;0
lmm1;9;1
lmm2;25;1
locn;0;0
lode;0;0
log;0;0
lom;66;1
lslife;26;1
lsmap;0;0
lsweb;20;1
lswmo;3;1
lswpm;268;1
ludo;0;0
ludo-gm;0;0
ludo-gp;0;0
ludo-vc;0;0
ludo-xapi;0;0
lvont;0;0
m3lite;100;1
m4i;18;1
ma-ont;0;0
mdr;0;0
medred;2;1
mil;0;0
mo;6;1
mod;0;0
mrel;0;0
msm;0;0
munc;0;0
music;22;1
mvco;69;1
nas;4;1
nen2660;17;1
ngeo;2;1
nif;5;1
nrv;0;0
ntag;0;0
oa;0;0
obo;4022;1
obws;2;1
odpart;2;1
odrl;1;1
ofo;2;1
ofrd;0;0
og;0;0
olca;0;0
olo;5;1
omg;0;0
ont;0;0
ontolex;6;1
ontopic;20;1
opmw;0;0
ore;0;0
org;1;1
osadm;0;0
osgeom;0;0
oslc;0;0
oslo;0;0
osspr;0;0
oum;519;1
owl;0;0
p-plan;0;0
pav;0;0
pbo;1;1
pc;0;0
peco;0;0
pfeepsa;0;0
pico;0;0
plink;10;1
plo;2;1
pmofn;6;1
pmonb;6;1
pmopb;11;1
pmovn;43;1
postcode;0;0
pproc;5;1
pr;0;0
premis;38;1
prissma;0;0
pro;5;1
prof;0;0
prov;7;1
provoc;0;0
prv;2;1
prvt;2;1
pso;5;1
pwo;8;1
qu;18;1
r-arco;125;1
r4r;3;1
radion;0;0
rains;115;1
rb;0;0
rbdoc;0;0
rdafrbr;0;0
rdag1;0;0
rdag2;0;0
rdag3;0;0
rdarel;0;0
rdarel2;0;0
rdarole;0;0
rdf;0;0
rdfa;0;0
rdfg;0;0
rdfp;0;0
rdfs;0;0
react;0;0
rec;0;0
rec54;0;0
remetca;0;0
rico;123;1
rlog;0;0
ro;13;1
roh;453;1
rov;0;0
rr;14;1
rto;47;1
ruto;35;1
s4ac;0;0
s4agri;53;1
s4bldg;308;1
s4city;40;1
s4ehaw;2;1
s4ener;106;1
s4envi;56;1
s4inma;36;1
s4syst;3;1
s4watr;35;1
s4wear;22;1
saont;3;1
saref;79;1
sbeo;95;1
scip;0;0
scot;0;0
sd;0;0
sdm;0;0
seas;0;0
seas-eval;0;0
seas-op;0;0
seas-qudt;0;0
seas-stats;1;1
seas-sys;3;1
seasb;0;0
seasbo;4;1
seasd;12;1
seasfo;6;1
seast;2;1
seasto;19;1
sem;0;0
semiotics;12;1
seo;36;1
seq;0;0
service;0;0
sf;0;0
sh;0;0
shoah;0;0
shw;118;1
simu;11;1
sio;455;1
sioc;0;0
situ;1;1
skos;0;0
skosxl;1;1
sosa;0;0
sp;0;0
spatial;0;0
spfood;34;1
spin;0;0
spvqa;0;0
sql;0;0
sronto;149;1
ssn;73;1
ssno;73;1
sto;18;1
sur;0;0
swp;0;0
synsem;0;0
tax;0;0
taxon;0;0
taxref-ld;0;0
tb;5;1
tddfa;16;1
tddial;0;0
tddm;37;1
tddom;57;1
tddt;11;1
tddw;0;0
te;20;1
test;9;1
tfo;3;1
ti;2;1
time;53;1
tio;1;1
tis;2;1
tl;29;1
todo;8;1
topo;1;1
traffic;2;1
trao;0;0
tsioc;0;0
tsn;0;0
tsnc;0;0
txn;0;0
tzont;11;1
uby;0;0
uco;1;1
ui;0;0
uiot;0;0
uiote;0;0
uiots;0;0
uneskos;0;0
uniprot;0;0
usability;47;1
vaem;29;1
vartrans;5;1
vcard;4;1
veo;0;0
vgo;1;1
vin;111;1
vivo;267;1
voaf;0;0
vocals;0;0
vs;0;0
vso;0;0
w3c-ssn;73;1
wdrs;0;0
wf-invoc;0;0
wfdesc;1;1
wfm;0;0
wfprov;0;0
whois;0;0
wi;0;0
wikibase;0;0
wl;0;0
wo;1;1
xapi;0;0
;17226;201
